ID,Objective,Input,Expected Outpu, Actual Output,Status
1,Test 2  instance LibraryItem equal,"LibraryItem('The Matrix',Wachowski',5)*2",TRUE,TRUE,Pass
2,Test initialize VideoLibrary class,"VideoLibrary(filename=abc.csv)",FileNotFoundError,Notraising error,fail
3,Test loading data from csv correctly,filename='library.csv',2 Dictionary eq,2 Dictionary eq,Pass
4,Test Update LibraryItem with key and check if 2 item eq,"('01','The Matrix,Wachowski,5",True,True,Pass
5,Test search function,'test_library.csv
5.1,search with one equal one query in data,'Tom and Jerry',1 item dictionary,1 item dictionary,Pass
5.2,search with one equal many query in data,'The Silence of the Lambs',4 item dictionary,4 item dictionary,Pass
5.3,search with query not in data,'Nonexistent',Emty Dict,Emty Dict,Pass
6,filter by rating,5,Dictionary of 02 and 08 item,Same,Pass
7,filter by invalid value,10,Diction emty,Dictionary emty,Pass
